path,status,owner,note,original_size,mobile_size,original_sha256,mobile_sha256
MegaCrit/Sts2/Core/Nodes/Pooling/NodePool.cs.uid,ADD,noise-or-overlay,Godot import/asset churn; verify before overlaying,,20,,b0c9a0f2a5499dc90d0a8f36abd1f77ff86c8c52b7a447b5465487dfe9b350c4
MegaCrit/Sts2/Core/Saves/Migrations/IMigration.cs.uid,ADD,noise-or-overlay,Godot import/asset churn; verify before overlaying,,20,,dfd9861f0171d7befea9bb848a0d328e3156f8384e7f0af063bc1a5fe8c8294b
README.md,ADD,unclassified,needs manual triage,,9537,,c4723966aaaca1cb214fcbe443c13c897470d677b58be83bd469e51b5eb402e9
System/Text/RegularExpressions/Generated/-RegexGenerator_g-FACC081AAF3D765EFF87A82C4FBB77F6FD3EA759AA2D03D993988F88E97CC0B5B__CamelCaseRegex_0.cs.uid,ADD,noise-or-overlay,Godot import/asset churn; verify before overlaying,,20,,20a43c1103c314da47870d4989f8fb17e8aeedd6857d36428511af37badd763b
System/Text/RegularExpressions/Generated/-RegexGenerator_g-FACC081AAF3D765EFF87A82C4FBB77F6FD3EA759AA2D03D993988F88E97CC0B5B__ConsecutiveSpaces_6.cs.uid,ADD,noise-or-overlay,Godot import/asset churn; verify before overlaying,,20,,3c19d23e7a15500a3d0a283ec34cac9cb06dbcdf871c39fe5b0fe6420d90c9d5
System/Text/RegularExpressions/Generated/-RegexGenerator_g-FACC081AAF3D765EFF87A82C4FBB77F6FD3EA759AA2D03D993988F88E97CC0B5B__HtmlTags_7.cs.uid,ADD,noise-or-overlay,Godot import/asset churn; verify before overlaying,,20,,da248be31de0398359cd98aeeeae28bfd1d01f278766f8040ac18b740074000e
System/Text/RegularExpressions/Generated/-RegexGenerator_g-FACC081AAF3D765EFF87A82C4FBB77F6FD3EA759AA2D03D993988F88E97CC0B5B__NonSpaceWhitespaceCharacters_5.cs.uid,ADD,noise-or-overlay,Godot import/asset churn; verify before overlaying,,20,,a64a95230e47b543f29e8598afe8844977f36db0fc8b950e16df3bac60361bd2
System/Text/RegularExpressions/Generated/-RegexGenerator_g-FACC081AAF3D765EFF87A82C4FBB77F6FD3EA759AA2D03D993988F88E97CC0B5B__SnakeCaseRegex_1.cs.uid,ADD,noise-or-overlay,Godot import/asset churn; verify before overlaying,,20,,a91e77a212ed8d2ca4a60028bcae2a539fbbe61b564040b9e4b35cca675b3828
System/Text/RegularExpressions/Generated/-RegexGenerator_g-FACC081AAF3D765EFF87A82C4FBB77F6FD3EA759AA2D03D993988F88E97CC0B5B__SpecialCharRegex_3.cs.uid,ADD,noise-or-overlay,Godot import/asset churn; verify before overlaying,,19,,5eef94ac4ec76ce696e5982d781795f6e6539d022c865087855c94048b7bbe44
System/Text/RegularExpressions/Generated/-RegexGenerator_g-FACC081AAF3D765EFF87A82C4FBB77F6FD3EA759AA2D03D993988F88E97CC0B5B__SteamIdRegex_4.cs.uid,ADD,noise-or-overlay,Godot import/asset churn; verify before overlaying,,20,,e51f24d8a51660969266cc566d2e46e321d953ccc44ecefde33c587ca305b424
System/Text/RegularExpressions/Generated/-RegexGenerator_g-FACC081AAF3D765EFF87A82C4FBB77F6FD3EA759AA2D03D993988F88E97CC0B5B__Utilities.cs,MOD,unclassified,needs manual triage,2276,2487,9239c77a9a1b8976568b0d043a45289ab69d850b2422c37354bc0e53e15070b7,28662b4811fe8634e84402571cded36993e163a8d0ce1f94520000790f2b18f0
System/Text/RegularExpressions/Generated/-RegexGenerator_g-FACC081AAF3D765EFF87A82C4FBB77F6FD3EA759AA2D03D993988F88E97CC0B5B__Utilities.cs.uid,ADD,noise-or-overlay,Godot import/asset churn; verify before overlaying,,20,,1146538e89cca24989fe1b8bb27211ccbf55b735588c9b4b86645396ec861ee3
System/Text/RegularExpressions/Generated/-RegexGenerator_g-FACC081AAF3D765EFF87A82C4FBB77F6FD3EA759AA2D03D993988F88E97CC0B5B__WhitespaceRegex_2.cs.uid,ADD,noise-or-overlay,Godot import/asset churn; verify before overlaying,,19,,28b18931d2ce2937bc74dc65be41e6a8885ac042e3ebfe485b509b152a413ac5
_mono_referenced_assemblies/0Harmony.dll,ADD,unclassified,needs manual triage,,301568,,8006f58a38ba1797de51fe263d4008b719e834e88ae5e2d5ae43f972ec83b69c
_mono_referenced_assemblies/0Harmony.dll.bak-android-prev,ADD,unclassified,needs manual triage,,2330624,,a849b726e1f9248d71aabbed8114deaf79beb7acc25e8344ff92a27ad8ac87ab
_mono_referenced_assemblies/Mono.Cecil.Mdb.dll,ADD,unclassified,needs manual triage,,39936,,28cb367972bdc1cd43e4006306af2fd96d37f4ed4b239ee90e1dc7237a93af7f
_mono_referenced_assemblies/Mono.Cecil.Pdb.dll,ADD,unclassified,needs manual triage,,90112,,a332332633fbcb20e8d50e49b4db7bd1557721417122cf0c5f4c42f2332391d0
_mono_referenced_assemblies/Mono.Cecil.Rocks.dll,ADD,unclassified,needs manual triage,,27136,,bf992f3dce364ebcc3200fa7832ef07e20b4e2dbc3a8a6213ce44e3d239db984
_mono_referenced_assemblies/Mono.Cecil.dll,ADD,unclassified,needs manual triage,,361472,,831dca77470d85cb6ffbea3072daa7a3df5b7c9fcfd9c3f43674a9be99d4bfcf
_mono_referenced_assemblies/MonoMod.Core.dll,ADD,unclassified,needs manual triage,,433152,,322761a5959685e9d65e634193a8074c161fe65d36569df50708ba73e0c0896e
_mono_referenced_assemblies/MonoMod.Iced.dll,ADD,unclassified,needs manual triage,,645632,,c87ec9ff0f02ead474a3d058b9789846c98d7473cb489d9973497dd4ed9e0fe9
_mono_referenced_assemblies/MonoMod.Utils.dll,ADD,unclassified,needs manual triage,,341504,,e085299936748e22cb8575c5522780fc22e8253d5e483d270473b0a69538b593
_mono_referenced_assemblies/Steamworks.NET.dll,ADD,unclassified,needs manual triage,,387584,,e1cd0bf2436cefbb8bfcfcc1cea0587e5b9c740769e8340f7b9e9de72785fcf0
_mono_referenced_assemblies/System.ComponentModel.TypeConverter.dll,ADD,unclassified,needs manual triage,,772360,,cef4307954a3d565165b4f0a7c372836c764295f90e2f3eba08e6c1cf5c6d15a
_mono_referenced_assemblies/System.Data.Common.dll,ADD,unclassified,needs manual triage,,2849080,,4abed7b274a55299d723cd9cd3f3bbd98aeb55b49c886ead9b6a2de424c38e72
_mono_referenced_assemblies/System.Diagnostics.TraceSource.dll,ADD,unclassified,needs manual triage,,145720,,a0af9c3215c1e4946089a8e2c513695c07ffc67ca76aa4cf56952855da04f975
_mono_referenced_assemblies/System.Drawing.Primitives.dll,ADD,unclassified,needs manual triage,,137480,,e599f1bbe613d900a7c68d9831208506abbd9bdfd8856d27a3280bb338096699
_mono_referenced_assemblies/System.Private.Uri.dll,ADD,unclassified,needs manual triage,,260408,,0f317be1d8ec1c88d2d5a078fb4ee0f85ae25baf45c76bda603b23c6cdea1fdb
_mono_referenced_assemblies/System.Private.Xml.Linq.dll,ADD,unclassified,needs manual triage,,399624,,c1263f082be675b630096fe35d1f9ea66992746a8abb61f0da21064ff7cf51a1
_mono_referenced_assemblies/System.Private.Xml.dll,ADD,unclassified,needs manual triage,,7919912,,89c8bb39555c675ea6f39fb9563aa39918698e3e064f2785a3262fcebf7cff05
_mono_referenced_assemblies/System.Resources.Writer.dll,ADD,unclassified,needs manual triage,,51496,,a8b2922b1b402cf178c52322a2d85139c15226b42ebdaaa5746ecee775cc88e7
_mono_referenced_assemblies/System.Transactions.Local.dll,ADD,unclassified,needs manual triage,,653608,,c5d6c9909a5349e479118abac48e91b98243fde156dff64ca032060829a74ec0
